date,order_number,item_number,quantity,status,resolved_source_row,resolution_source,note,review_hit_1,review_hit_2,review_hit_3
04/05/2026,260504,ELBH 9B,4000.0,resolved,533,match_review_final,Resolved by approved Final Selection.,,,
04/05/2026,260504,ELKC 38W,5000.0,resolved,548,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,ELKSF 25B,2000.0,resolved,592,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,HBTP15 BLACK,20000.0,resolved,741,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,HBTP22 CHEST,20000.0,resolved,849,match_review_final,Resolved by approved Final Selection.,,,
04/05/2026,260504,HBTP22 DUSTY,2000.0,resolved,863,match_review_final,Resolved by approved Final Selection.,,,
04/05/2026,260504,LMTS36 CHAR,20000.0,resolved,2365,match_review_final,Resolved by approved Final Selection.,,,
04/05/2026,260504,MTL36 MM1,20000.0,resolved,2092,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,MTL36 MM2CAN,6000.0,resolved,2097,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,SFW38B,5000.0,resolved,1253,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,SFW48 ABC CHAR,800.0,resolved,1326,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,SFW50FY,2000.0,resolved,1273,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,WEBPP25B,30000.0,resolved,1518,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,WEBPP50B,10000.0,resolved,1528,sheet1_direct,Resolved by exact item number already present on supplier rows.,,,
04/05/2026,260504,WEBRG 25B,3000.0,resolved,1558,match_review_final,Resolved by approved Final Selection.,,,
